MarketingFactKey,DateKey,CampaignKey,ChannelKey,LocationKey,Impressions,Clicks,SpendAmount,LeadsGenerated,ConversionsCount,AttributedSaleAmount,CTR_Pct,CPC_Amount,CostPerLead,CostPerConversion,ROAS,SourceSystem,SourceRecordID,ETL_LoadedAt
57,20241121,1,11,2612,0,0,210.10,0,0,1340.00,0.0000,0.00,0.00,0.00,6.38,Google Ads,A1056,2026-09-07T07:48:42.882130
58,20241116,11,11,2612,0,0,208.58,0,0,1692.00,0.0000,0.00,0.00,0.00,8.11,Google Ads,A1057,2026-09-07T07:48:42.882130
59,20241118,4,11,2612,0,0,219.48,0,0,1054.00,0.0000,0.00,0.00,0.00,4.80,Google Ads,A1058,2026-09-07T07:48:42.882130
60,20241111,5,11,2612,0,0,238.81,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1059,2026-09-07T07:48:42.882130
61,20241116,9,11,2612,0,0,189.76,0,0,1219.00,0.0000,0.00,0.00,0.00,6.42,Google Ads,A1060,2026-09-07T07:48:42.882130
62,20241111,3,11,2612,0,0,0.00,0,0,1946.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1061,2026-09-07T07:48:42.882130
63,20241108,1,11,2612,0,0,204.31,0,0,1833.00,0.0000,0.00,0.00,0.00,8.97,Google Ads,A1062,2026-09-07T07:48:42.882130
64,20241123,8,11,2612,0,0,222.32,0,0,1963.00,0.0000,0.00,0.00,0.00,8.83,Google Ads,A1063,2026-09-07T07:48:42.882130
65,20241120,9,11,2612,0,0,232.03,0,0,1348.00,0.0000,0.00,0.00,0.00,5.81,Google Ads,A1064,2026-09-07T07:48:42.882130
66,20241105,16,11,2612,0,0,183.73,0,0,1264.00,0.0000,0.00,0.00,0.00,6.88,Google Ads,A1065,2026-09-07T07:48:42.882130
67,20241127,2,11,2612,0,0,221.18,0,0,1771.00,0.0000,0.00,0.00,0.00,8.01,Google Ads,A1066,2026-09-07T07:48:42.882130
68,20241110,4,11,2612,0,0,199.11,0,0,1337.00,0.0000,0.00,0.00,0.00,6.71,Google Ads,A1067,2026-09-07T07:48:42.882130
69,20241104,13,11,2612,0,0,234.22,0,0,1287.00,0.0000,0.00,0.00,0.00,5.49,Google Ads,A1068,2026-09-07T07:48:42.882130
70,20241116,13,11,2612,0,0,240.59,0,0,1922.00,0.0000,0.00,0.00,0.00,7.99,Google Ads,A1069,2026-09-07T07:48:42.882130
71,20241106,5,11,2612,0,0,215.48,0,0,1975.00,0.0000,0.00,0.00,0.00,9.17,Google Ads,A1070,2026-09-07T07:48:42.882130
72,20241104,15,11,2612,0,0,228.14,0,0,1556.00,0.0000,0.00,0.00,0.00,6.82,Google Ads,A1071,2026-09-07T07:48:42.882130
73,20241109,4,11,2612,0,0,199.13,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1072,2026-09-07T07:48:42.882130
74,20241112,15,11,2612,0,0,225.39,0,0,1728.00,0.0000,0.00,0.00,0.00,7.67,Google Ads,A1073,2026-09-07T07:48:42.882130
75,20241109,4,11,2612,0,0,246.30,0,0,1554.00,0.0000,0.00,0.00,0.00,6.31,Google Ads,A1074,2026-09-07T07:48:42.882130
76,20241123,1,11,2612,0,0,212.55,0,0,1994.00,0.0000,0.00,0.00,0.00,9.38,Google Ads,A1075,2026-09-07T07:48:42.882130
77,20241108,14,11,2612,0,0,228.24,0,0,1618.00,0.0000,0.00,0.00,0.00,7.09,Google Ads,A1076,2026-09-07T07:48:42.882130
78,20241105,16,11,2612,0,0,233.78,0,0,1086.00,0.0000,0.00,0.00,0.00,4.65,Google Ads,A1077,2026-09-07T07:48:42.882130
79,20241109,18,11,2612,0,0,234.05,0,0,1364.00,0.0000,0.00,0.00,0.00,5.83,Google Ads,A1078,2026-09-07T07:48:42.882130
80,20241105,3,11,2612,0,0,187.28,0,0,1836.00,0.0000,0.00,0.00,0.00,9.80,Google Ads,A1079,2026-09-07T07:48:42.882130
81,20241125,2,11,2612,0,0,199.13,0,0,1932.00,0.0000,0.00,0.00,0.00,9.70,Google Ads,A1080,2026-09-07T07:48:42.882130
82,20241130,14,11,2612,0,0,241.35,0,0,1038.00,0.0000,0.00,0.00,0.00,4.30,Google Ads,A1081,2026-09-07T07:48:42.882130
83,20241117,5,11,2612,0,0,217.53,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1082,2026-09-07T07:48:42.882130
84,20241128,5,11,2612,0,0,215.28,0,0,1327.00,0.0000,0.00,0.00,0.00,6.16,Google Ads,A1083,2026-09-07T07:48:42.882130
85,20241103,3,11,2612,0,0,227.38,0,0,1467.00,0.0000,0.00,0.00,0.00,6.45,Google Ads,A1084,2026-09-07T07:48:42.882130
86,20241119,10,11,2612,0,0,233.20,0,0,1174.00,0.0000,0.00,0.00,0.00,5.03,Google Ads,A1085,2026-09-07T07:48:42.882130
87,20241123,13,11,2612,0,0,206.02,0,0,1057.00,0.0000,0.00,0.00,0.00,5.13,Google Ads,A1086,2026-09-07T07:48:42.882130
88,20241103,3,11,2612,0,0,0.00,0,0,1199.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1087,2026-09-07T07:48:42.882130
89,20241107,18,11,2612,0,0,209.68,0,0,1966.00,0.0000,0.00,0.00,0.00,9.38,Google Ads,A1088,2026-09-07T07:48:42.882130
90,20241102,16,11,2612,0,0,241.04,0,0,1194.00,0.0000,0.00,0.00,0.00,4.95,Google Ads,A1089,2026-09-07T07:48:42.882130
91,20241115,1,11,2612,0,0,227.39,0,0,1821.00,0.0000,0.00,0.00,0.00,8.01,Google Ads,A1090,2026-09-07T07:48:42.882130
92,20241120,6,11,2612,0,0,204.16,0,0,1731.00,0.0000,0.00,0.00,0.00,8.48,Google Ads,A1091,2026-09-07T07:48:42.882130
93,20241123,3,11,2612,0,0,0.00,0,0,1859.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1092,2026-09-07T07:48:42.882130
94,20241120,18,11,2612,0,0,184.41,0,0,1188.00,0.0000,0.00,0.00,0.00,6.44,Google Ads,A1093,2026-09-07T07:48:42.882130
95,20241101,6,11,2612,0,0,216.45,0,0,1496.00,0.0000,0.00,0.00,0.00,6.91,Google Ads,A1094,2026-09-07T07:48:42.882130
96,20241114,10,11,2612,0,0,197.30,0,0,1645.00,0.0000,0.00,0.00,0.00,8.34,Google Ads,A1095,2026-09-07T07:48:42.882130
97,20241128,15,11,2612,0,0,229.42,0,0,1915.00,0.0000,0.00,0.00,0.00,8.35,Google Ads,A1096,2026-09-07T07:48:42.882130
98,20241115,6,11,2612,0,0,187.32,0,0,1614.00,0.0000,0.00,0.00,0.00,8.62,Google Ads,A1097,2026-09-07T07:48:42.882130
99,20241125,9,11,2612,0,0,222.50,0,0,1839.00,0.0000,0.00,0.00,0.00,8.27,Google Ads,A1098,2026-09-07T07:48:42.882130
100,20241106,18,11,2612,0,0,236.14,0,0,1036.00,0.0000,0.00,0.00,0.00,4.39,Google Ads,A1099,2026-09-07T07:48:42.882130
101,20241129,16,11,2612,0,0,246.76,0,0,1052.00,0.0000,0.00,0.00,0.00,4.26,Google Ads,A1100,2026-09-07T07:48:42.882130
102,20241117,15,11,2612,0,0,244.41,0,0,1092.00,0.0000,0.00,0.00,0.00,4.47,Google Ads,A1101,2026-09-07T07:48:42.882130
103,20241104,17,11,2612,0,0,197.03,0,0,1909.00,0.0000,0.00,0.00,0.00,9.69,Google Ads,A1102,2026-09-07T07:48:42.882130
104,20241129,1,11,2612,0,0,221.36,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1103,2026-09-07T07:48:42.882130
105,20241115,9,11,2612,0,0,0.00,0,0,1026.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1104,2026-09-07T07:48:42.882130
106,20241128,3,11,2612,0,0,230.22,0,0,1944.00,0.0000,0.00,0.00,0.00,8.44,Google Ads,A1105,2026-09-07T07:48:42.882130
107,20241130,4,11,2612,0,0,183.65,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1106,2026-09-07T07:48:42.882130
108,20241103,15,11,2612,0,0,197.16,0,0,1867.00,0.0000,0.00,0.00,0.00,9.47,Google Ads,A1107,2026-09-07T07:48:42.882130
109,20241122,1,11,2612,0,0,235.36,0,0,1505.00,0.0000,0.00,0.00,0.00,6.39,Google Ads,A1108,2026-09-07T07:48:42.882130
110,20241120,18,11,2612,0,0,237.22,0,0,1842.00,0.0000,0.00,0.00,0.00,7.76,Google Ads,A1109,2026-09-07T07:48:42.882130
111,20241108,8,11,2612,0,0,235.33,0,0,1116.00,0.0000,0.00,0.00,0.00,4.74,Google Ads,A1110,2026-09-07T07:48:42.882130
112,20241124,14,11,2612,0,0,192.32,0,0,1501.00,0.0000,0.00,0.00,0.00,7.80,Google Ads,A1111,2026-09-07T07:48:42.882130
113,20241109,17,11,2612,0,0,235.60,0,0,1894.00,0.0000,0.00,0.00,0.00,8.04,Google Ads,A1112,2026-09-07T07:48:42.882130
114,20241125,8,11,2612,0,0,223.90,0,0,1179.00,0.0000,0.00,0.00,0.00,5.27,Google Ads,A1113,2026-09-07T07:48:42.882130
115,20241120,7,11,2612,0,0,203.52,0,0,1838.00,0.0000,0.00,0.00,0.00,9.03,Google Ads,A1114,2026-09-07T07:48:42.882130
116,20241121,10,11,2612,0,0,195.69,0,0,1094.00,0.0000,0.00,0.00,0.00,5.59,Google Ads,A1115,2026-09-07T07:48:42.882130
117,20241124,17,11,2612,0,0,229.76,0,0,1344.00,0.0000,0.00,0.00,0.00,5.85,Google Ads,A1116,2026-09-07T07:48:42.882130
118,20241105,8,11,2612,0,0,189.13,0,0,1434.00,0.0000,0.00,0.00,0.00,7.58,Google Ads,A1117,2026-09-07T07:48:42.882130
119,20241116,18,11,2612,0,0,0.00,0,0,1766.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1118,2026-09-07T07:48:42.882130
120,20241103,18,11,2612,0,0,193.76,0,0,1220.00,0.0000,0.00,0.00,0.00,6.30,Google Ads,A1119,2026-09-07T07:48:42.882130
121,20241123,14,11,2612,0,0,214.18,0,0,1348.00,0.0000,0.00,0.00,0.00,6.29,Google Ads,A1120,2026-09-07T07:48:42.882130
122,20241123,2,11,2612,0,0,215.57,0,0,1123.00,0.0000,0.00,0.00,0.00,5.21,Google Ads,A1121,2026-09-07T07:48:42.882130
123,20241124,15,11,2612,0,0,240.33,0,0,1982.00,0.0000,0.00,0.00,0.00,8.25,Google Ads,A1122,2026-09-07T07:48:42.882130
124,20241120,4,11,2612,0,0,225.67,0,0,1140.00,0.0000,0.00,0.00,0.00,5.05,Google Ads,A1123,2026-09-07T07:48:42.882130
125,20241110,14,11,2612,0,0,192.88,0,0,1962.00,0.0000,0.00,0.00,0.00,10.17,Google Ads,A1124,2026-09-07T07:48:42.882130
126,20241104,11,11,2612,0,0,187.87,0,0,1172.00,0.0000,0.00,0.00,0.00,6.24,Google Ads,A1125,2026-09-07T07:48:42.882130
127,20241123,18,11,2612,0,0,237.63,0,0,1699.00,0.0000,0.00,0.00,0.00,7.15,Google Ads,A1126,2026-09-07T07:48:42.882130
128,20241118,14,11,2612,0,0,235.98,0,0,1423.00,0.0000,0.00,0.00,0.00,6.03,Google Ads,A1127,2026-09-07T07:48:42.882130
129,20241104,8,11,2612,0,0,193.49,0,0,1456.00,0.0000,0.00,0.00,0.00,7.52,Google Ads,A1128,2026-09-07T07:48:42.882130
130,20241105,3,11,2612,0,0,218.88,0,0,1299.00,0.0000,0.00,0.00,0.00,5.93,Google Ads,A1129,2026-09-07T07:48:42.882130
131,20241128,9,11,2612,0,0,194.82,0,0,1248.00,0.0000,0.00,0.00,0.00,6.41,Google Ads,A1130,2026-09-07T07:48:42.882130
132,20241109,10,11,2612,0,0,225.14,0,0,1495.00,0.0000,0.00,0.00,0.00,6.64,Google Ads,A1131,2026-09-07T07:48:42.882130
133,20241120,17,11,2612,0,0,219.99,0,0,1089.00,0.0000,0.00,0.00,0.00,4.95,Google Ads,A1132,2026-09-07T07:48:42.882130
134,20241127,12,11,2612,0,0,186.14,0,0,1013.00,0.0000,0.00,0.00,0.00,5.44,Google Ads,A1133,2026-09-07T07:48:42.882130
135,20241104,7,11,2612,0,0,206.21,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1134,2026-09-07T07:48:42.882130
136,20241120,13,11,2612,0,0,228.38,0,0,1243.00,0.0000,0.00,0.00,0.00,5.44,Google Ads,A1135,2026-09-07T07:48:42.882130
137,20241104,8,11,2612,0,0,205.25,0,0,1693.00,0.0000,0.00,0.00,0.00,8.25,Google Ads,A1136,2026-09-07T07:48:42.882130
138,20241126,17,11,2612,0,0,202.23,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1137,2026-09-07T07:48:42.882130
139,20241122,17,11,2612,0,0,237.68,0,0,1509.00,0.0000,0.00,0.00,0.00,6.35,Google Ads,A1138,2026-09-07T07:48:42.882130
140,20241101,12,11,2612,0,0,229.29,0,0,1434.00,0.0000,0.00,0.00,0.00,6.25,Google Ads,A1139,2026-09-07T07:48:42.882130
141,20241111,1,11,2612,0,0,249.29,0,0,1767.00,0.0000,0.00,0.00,0.00,7.09,Google Ads,A1140,2026-09-07T07:48:42.882130
142,20241116,2,11,2612,0,0,182.98,0,0,1048.00,0.0000,0.00,0.00,0.00,5.73,Google Ads,A1141,2026-09-07T07:48:42.882130
143,20241117,9,11,2612,0,0,0.00,0,0,1566.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1142,2026-09-07T07:48:42.882130
144,20241123,4,11,2612,0,0,0.00,0,0,1753.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1143,2026-09-07T07:48:42.882130
145,20241107,16,11,2612,0,0,188.02,0,0,1891.00,0.0000,0.00,0.00,0.00,10.06,Google Ads,A1144,2026-09-07T07:48:42.882130
146,20241122,4,11,2612,0,0,242.35,0,0,1599.00,0.0000,0.00,0.00,0.00,6.60,Google Ads,A1145,2026-09-07T07:48:42.882130
147,20241113,7,11,2612,0,0,192.01,0,0,1048.00,0.0000,0.00,0.00,0.00,5.46,Google Ads,A1146,2026-09-07T07:48:42.882130
148,20241114,15,11,2612,0,0,228.15,0,0,1874.00,0.0000,0.00,0.00,0.00,8.21,Google Ads,A1147,2026-09-07T07:48:42.882130
149,20241106,18,11,2612,0,0,221.67,0,0,1427.00,0.0000,0.00,0.00,0.00,6.44,Google Ads,A1148,2026-09-07T07:48:42.882130
150,20241101,10,11,2612,0,0,222.61,0,0,1814.00,0.0000,0.00,0.00,0.00,8.15,Google Ads,A1149,2026-09-07T07:48:42.882130
151,20241113,2,11,2612,0,0,184.51,0,0,1507.00,0.0000,0.00,0.00,0.00,8.17,Google Ads,A1150,2026-09-07T07:48:42.882130
152,20241105,12,11,2612,0,0,198.68,0,0,1041.00,0.0000,0.00,0.00,0.00,5.24,Google Ads,A1151,2026-09-07T07:48:42.882130
153,20241113,18,11,2612,0,0,0.00,0,0,1483.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1152,2026-09-07T07:48:42.882130
154,20241114,7,11,2612,0,0,236.98,0,0,1143.00,0.0000,0.00,0.00,0.00,4.82,Google Ads,A1153,2026-09-07T07:48:42.882130
155,20241125,9,11,2612,0,0,210.74,0,0,1172.00,0.0000,0.00,0.00,0.00,5.56,Google Ads,A1154,2026-09-07T07:48:42.882130
156,20241115,8,11,2612,0,0,214.78,0,0,1898.00,0.0000,0.00,0.00,0.00,8.84,Google Ads,A1155,2026-09-07T07:48:42.882130
157,20241115,2,11,2612,0,0,183.96,0,0,1143.00,0.0000,0.00,0.00,0.00,6.21,Google Ads,A1156,2026-09-07T07:48:42.882130
158,20241122,9,11,2612,0,0,190.55,0,0,1640.00,0.0000,0.00,0.00,0.00,8.61,Google Ads,A1157,2026-09-07T07:48:42.882130
159,20241112,14,11,2612,0,0,244.82,0,0,1375.00,0.0000,0.00,0.00,0.00,5.62,Google Ads,A1158,2026-09-07T07:48:42.882130
160,20241107,5,11,2612,0,0,244.53,0,0,1602.00,0.0000,0.00,0.00,0.00,6.55,Google Ads,A1159,2026-09-07T07:48:42.882130
161,20241105,1,11,2612,0,0,245.87,0,0,0.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1160,2026-09-07T07:48:42.882130
162,20241124,14,11,2612,0,0,191.38,0,0,1786.00,0.0000,0.00,0.00,0.00,9.33,Google Ads,A1161,2026-09-07T07:48:42.882130
163,20241104,18,11,2612,0,0,222.46,0,0,1219.00,0.0000,0.00,0.00,0.00,5.48,Google Ads,A1162,2026-09-07T07:48:42.882130
164,20241113,7,11,2612,0,0,208.96,0,0,1735.00,0.0000,0.00,0.00,0.00,8.30,Google Ads,A1163,2026-09-07T07:48:42.882130
165,20241113,3,11,2612,0,0,238.19,0,0,1384.00,0.0000,0.00,0.00,0.00,5.81,Google Ads,A1164,2026-09-07T07:48:42.882130
166,20241115,14,11,2612,0,0,247.24,0,0,1499.00,0.0000,0.00,0.00,0.00,6.06,Google Ads,A1165,2026-09-07T07:48:42.882130
167,20241103,5,11,2612,0,0,218.46,0,0,1567.00,0.0000,0.00,0.00,0.00,7.17,Google Ads,A1166,2026-09-07T07:48:42.882130
168,20241103,10,11,2612,0,0,0.00,0,0,1363.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1167,2026-09-07T07:48:42.882130
169,20241120,11,11,2612,0,0,183.71,0,0,1137.00,0.0000,0.00,0.00,0.00,6.19,Google Ads,A1168,2026-09-07T07:48:42.882130
170,20241122,17,11,2612,0,0,238.08,0,0,1186.00,0.0000,0.00,0.00,0.00,4.98,Google Ads,A1169,2026-09-07T07:48:42.882130
171,20241109,17,11,2612,0,0,191.90,0,0,1748.00,0.0000,0.00,0.00,0.00,9.11,Google Ads,A1170,2026-09-07T07:48:42.882130
172,20241113,16,11,2612,0,0,0.00,0,0,1233.00,0.0000,0.00,0.00,0.00,0.00,Google Ads,A1171,2026-09-07T07:48:42.882130
173,20241123,13,11,2612,0,0,213.99,0,0,1796.00,0.0000,0.00,0.00,0.00,8.39,Google Ads,A1172,2026-09-07T07:48:42.882130
174,20241127,2,11,2612,0,0,240.63,0,0,1012.00,0.0000,0.00,0.00,0.00,4.21,Google Ads,A1173,2026-09-07T07:48:42.882130
175,20241110,4,11,2612,0,0,240.29,0,0,1682.00,0.0000,0.00,0.00,0.00,7.00,Google Ads,A1174,2026-09-07T07:48:42.882130
176,20241117,9,11,2612,0,0,204.97,0,0,1638.00,0.0000,0.00,0.00,0.00,7.99,Google Ads,A1175,2026-09-07T07:48:42.882130
177,20241120,17,11,2612,0,0,225.86,0,0,1961.00,0.0000,0.00,0.00,0.00,8.68,Google Ads,A1176,2026-09-07T07:48:42.882130
178,20241106,5,11,2612,0,0,185.26,0,0,1921.00,0.0000,0.00,0.00,0.00,10.37,Google Ads,A1177,2026-09-07T07:48:42.882130
