LeadFactKey,CustomerKey,LocationKey,TimeSpentOnSite,EstimatedSalary,HasConverted,LeadQualityTier,SourceSystem,ETL_LoadedAt
32,43513,14479,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
33,43513,14481,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
34,43513,14484,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
35,43513,14489,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
36,43513,14495,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
37,43513,14511,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
38,43513,14512,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
39,43513,14526,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
40,43513,14528,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
41,43513,14532,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
42,43513,14536,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
43,43513,14539,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
44,43513,14542,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
45,43513,14551,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
46,43513,14554,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
47,43513,14558,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
48,43513,14560,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
49,43513,14570,43.32,59946.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
50,43678,1,32.46,31531.12,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
51,43607,1,30.56,92865.06,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
52,43762,1,30.64,64316.05,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
53,43679,1,25.71,55564.88,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
54,43711,1,35.55,71109.27,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
55,43451,1,31.42,63027.66,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
56,43477,1,27.66,19862.41,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
57,43457,1,30.29,65132.00,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
58,43423,1,34.49,22604.41,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
59,43705,1,28.08,53879.86,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
60,43652,1,17.10,59228.86,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
61,43686,1,40.76,60965.43,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
62,43620,1,42.25,66564.04,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
63,43573,1,32.46,79049.08,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
64,43461,1,41.81,79523.57,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
65,43468,1,26.40,42014.28,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
66,43544,1,35.32,82283.61,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
67,43724,1,36.45,49102.83,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
68,43858,1,27.58,65851.63,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
69,43411,1,43.88,77371.65,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
70,43581,1,50.99,63695.05,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
71,43820,1,29.82,41808.08,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
72,43894,1,30.11,54942.85,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
73,43397,1,28.94,29899.47,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
74,43833,1,24.65,44289.03,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
75,43399,1,29.30,67190.91,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
76,43593,1,25.14,55160.32,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
77,43533,1,31.03,35341.27,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
78,43595,1,30.97,29724.82,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
79,43765,1,44.89,54682.88,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
80,43474,1,48.79,55633.04,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
81,43676,1,44.01,62854.42,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
82,43718,1,36.32,76548.15,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
83,43784,1,32.39,74331.35,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
84,43495,1,36.06,65202.91,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
85,43750,1,32.72,38368.19,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
86,43748,1,44.55,58598.27,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
87,43507,1,51.51,72735.56,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
88,43624,1,38.62,58365.21,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
89,43424,1,11.93,54093.64,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
90,43590,1,34.25,37355.11,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
91,43473,1,25.65,55330.06,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
92,43879,1,20.93,48451.79,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
93,43700,1,35.96,23683.31,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
94,43641,1,44.46,63084.16,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
95,43663,14487,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
96,43560,14487,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
97,43663,14491,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
98,43560,14491,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
99,43663,14492,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
100,43560,14492,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
101,43663,14493,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
102,43560,14493,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
103,43663,14494,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
104,43560,14494,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
105,43663,14496,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
106,43560,14496,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
107,43663,14502,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
108,43560,14502,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
109,43663,14505,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
110,43560,14505,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
111,43663,14514,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
112,43560,14514,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
113,43663,14516,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
114,43560,14516,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
115,43663,14518,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
116,43560,14518,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
117,43663,14520,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
118,43560,14520,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
119,43663,14523,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
120,43560,14523,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
121,43663,14524,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
122,43560,14524,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
123,43663,14531,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
124,43560,14531,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
125,43663,14545,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
126,43560,14545,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
127,43663,14549,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
128,43560,14549,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
129,43663,14555,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
130,43560,14555,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
131,43663,14556,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
132,43560,14556,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
133,43663,14561,26.44,42016.00,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
134,43560,14561,24.71,69670.80,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
135,43681,1,31.81,35699.69,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
136,43445,1,16.28,38154.42,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
137,43453,1,36.81,81282.41,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
138,43722,1,39.36,80909.18,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
139,43871,1,19.00,50882.24,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
140,43439,1,48.87,34774.44,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
141,43459,1,11.45,35043.63,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
142,43810,1,29.45,14007.80,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
143,43880,1,44.55,65083.77,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
144,43751,1,46.47,68987.71,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
145,43483,1,19.92,30201.25,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
146,43772,1,34.84,37145.63,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
147,43487,1,41.63,63123.68,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
148,43840,1,33.30,66605.39,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
149,43640,1,29.75,53557.35,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
150,43781,1,30.57,67962.91,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
151,43559,1,33.52,50888.64,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
152,43743,1,33.44,41773.86,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
153,43830,1,39.82,70503.31,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
154,43702,1,35.77,85662.41,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
155,43730,1,39.85,94950.42,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
156,43735,1,30.17,18776.96,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
157,43410,1,21.37,38861.60,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
158,43706,1,21.06,58088.90,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
159,43667,1,54.04,37143.36,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
160,43831,1,31.25,76064.38,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
161,43860,1,37.09,91568.97,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
162,43887,1,37.30,62052.98,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
163,43519,1,30.39,33487.85,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
164,43845,1,40.31,31624.06,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
165,43407,1,31.47,24383.50,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
166,43404,1,35.36,69251.83,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
167,43421,1,34.25,40972.91,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
168,43398,1,43.75,50778.00,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
169,43721,1,25.68,29851.41,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
170,43649,1,24.04,36474.71,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
171,43890,1,20.71,33993.05,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
172,43610,1,37.11,76221.54,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
173,43599,1,23.50,43345.10,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
174,43875,1,39.06,29178.36,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
175,43586,1,24.66,36536.83,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
176,43786,1,23.18,42332.55,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
177,43696,1,33.65,55883.58,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
178,43574,1,15.62,31530.62,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
179,43576,1,31.72,73046.94,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
180,43822,1,12.87,27148.28,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
181,43715,1,26.39,37080.28,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
182,43857,1,33.23,33779.11,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
183,43506,1,37.17,63750.42,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
184,43657,1,53.66,53210.36,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
185,43664,1,36.61,65044.06,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
186,43760,1,35.10,69637.14,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
187,43571,1,27.95,56403.17,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
188,43813,1,19.73,42876.17,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
189,43856,1,20.49,45728.95,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
190,43481,1,24.83,43126.92,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
191,43491,1,31.36,54655.58,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
192,43811,1,37.28,50158.75,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
193,43450,1,24.42,49660.20,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
194,43671,1,36.69,84819.67,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
195,43539,1,35.83,38704.73,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
196,43704,1,23.97,25710.86,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
197,43764,1,36.90,32583.02,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
198,43480,1,22.46,47770.07,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
199,43449,1,38.59,54524.27,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
200,43886,1,19.05,47550.96,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
201,43753,1,42.15,48446.83,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
202,43782,1,38.93,67626.03,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
203,43837,1,29.31,38241.22,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
204,43435,1,41.77,47562.91,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
205,43699,1,42.92,58281.11,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
206,43749,1,33.80,45502.98,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
207,43422,1,25.06,17759.93,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
208,43653,1,43.62,43938.78,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
209,43478,1,23.87,23439.87,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
210,43654,1,33.89,58187.78,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
211,43763,1,40.98,45591.45,True,Tier 2 - Converting Lead,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
212,43648,1,29.86,49464.23,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
213,43688,1,20.17,34498.49,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
214,43638,1,17.48,41463.95,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
215,43870,1,33.49,81823.34,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
216,43832,1,42.14,60260.71,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
217,43502,1,25.41,18541.73,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
218,43849,1,34.53,30221.94,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
219,43780,1,34.90,55864.96,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
220,43878,1,36.92,61668.56,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
221,43795,1,26.54,50967.99,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
222,43775,1,30.43,40446.85,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
223,43629,1,31.18,60772.42,False,Tier 3 - High Income Non-Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
224,43846,1,22.63,25031.15,False,Tier 4 - Standard Audience,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
225,43608,1,45.91,73373.88,True,Tier 1 - High Value Converting,Meta Ads Lead Gen,2026-09-07T07:48:44.670733
