DateKey,FullDate,YearNumber,MonthNumber,MonthName,FinancialQuarter,FinancialYear,DayName,IsWeekend,TotalOrders,ValidOrders,CancelledOrders,TotalUnits,ValidUnits,GrossMerchandiseValue,NetRevenue,DeliveredRevenue,CancelledRevenue,ReturnedRevenue,EstimatedTotalCOGS,EstimatedGrossProfit,AverageOrderValue,CancellationRatePct,EstimatedGrossMarginPct
20210911,2021-09-11,2021,9,September,FQ2,FY21-22,Saturday,True,60,59,1,204,200,55004.35,54802.22,42849.03,202.13,4037.07,30541.82,24260.53,928.850000,1.67,44.110000
20230924,2023-09-24,2023,9,September,FQ2,FY23-24,Sunday,True,61,57,4,177,170,50158.05,47694.93,38720.43,2463.12,374.21,25117.75,22577.35,836.750000,6.56,45.010000
20240802,2024-08-02,2024,8,August,FQ2,FY24-25,Friday,False,55,52,3,162,153,48758.10,48299.35,34612.46,458.75,533.73,26421.20,21878.19,928.830000,5.45,44.870000
20220212,2022-02-12,2022,2,February,FQ4,FY21-22,Saturday,True,53,52,1,135,134,43549.36,43077.84,34456.71,471.52,0.00,23138.86,19938.97,828.420000,1.89,45.780000
20230822,2023-08-22,2023,8,August,FQ2,FY23-24,Tuesday,False,57,55,2,147,142,41962.90,39791.04,30017.78,2171.86,1723.73,22161.07,17629.99,723.470000,3.51,42.010000
20240920,2024-09-20,2024,9,September,FQ2,FY24-25,Friday,False,70,68,2,213,206,73533.02,71275.84,56911.99,2257.18,3791.64,38208.82,33067.27,1048.170000,2.86,44.970000
20241124,2024-11-24,2024,11,November,FQ3,FY24-25,Sunday,True,53,52,1,148,143,48372.38,45466.97,33773.48,2905.41,1106.05,24955.50,20511.47,874.360000,1.89,42.400000
20200728,2020-07-28,2020,7,July,FQ2,FY20-21,Tuesday,False,60,59,1,202,197,67342.28,65351.92,54524.32,1990.36,2225.75,36023.87,29328.24,1107.660000,1.67,43.550000
20200116,2020-01-16,2020,1,January,FQ4,FY19-20,Thursday,False,64,60,4,188,182,56528.13,55200.62,44629.98,1327.51,1599.12,30209.07,24991.71,920.010000,6.25,44.210000
20220724,2022-07-24,2022,7,July,FQ2,FY22-23,Sunday,True,71,70,1,209,204,63030.10,62400.79,53281.64,629.31,0.00,34349.94,28050.91,891.440000,1.41,44.500000
20230312,2023-03-12,2023,3,March,FQ4,FY22-23,Sunday,True,55,55,0,164,164,51736.58,51736.58,35937.52,0.00,2377.78,28559.69,23177.00,940.670000,0.0,44.800000
20220707,2022-07-07,2022,7,July,FQ2,FY22-23,Thursday,False,57,55,2,182,175,55395.55,54198.14,38476.68,1197.41,7829.72,28753.85,25444.46,985.420000,3.51,45.930000
20210223,2021-02-23,2021,2,February,FQ4,FY20-21,Tuesday,False,58,57,1,159,157,50487.53,50288.87,35937.32,198.66,2903.35,27375.29,22913.58,882.260000,1.72,45.380000
20210113,2021-01-13,2021,1,January,FQ4,FY20-21,Wednesday,False,53,51,2,167,161,53801.00,51311.23,36570.17,2489.77,1425.11,27750.26,23561.02,1006.100000,3.77,43.790000
20211218,2021-12-18,2021,12,December,FQ3,FY21-22,Saturday,True,55,53,2,163,156,56112.69,52817.29,37965.60,3295.40,2684.29,29099.14,23718.15,996.550000,3.64,42.270000
20200915,2020-09-15,2020,9,September,FQ2,FY20-21,Tuesday,False,66,64,2,213,205,67825.77,65461.94,40852.19,2363.83,3813.66,36028.82,29433.18,1022.840000,3.03,43.400000
20240529,2024-05-29,2024,5,May,FQ1,FY24-25,Wednesday,False,52,52,0,163,163,50295.51,50295.51,35164.78,0.00,166.55,27548.28,22747.26,967.220000,0.0,45.230000
20220119,2022-01-19,2022,1,January,FQ4,FY21-22,Wednesday,False,57,55,2,187,177,55319.32,53321.91,42641.57,1997.41,1507.11,28373.49,24948.50,969.490000,3.51,45.100000
20240827,2024-08-27,2024,8,August,FQ2,FY24-25,Tuesday,False,48,48,0,155,155,53696.30,53696.30,45001.58,0.00,0.00,28977.93,24718.29,1118.670000,0.0,46.030000
20240326,2024-03-26,2024,3,March,FQ4,FY23-24,Tuesday,False,58,57,1,164,159,44203.75,42992.88,34356.53,1210.87,1669.73,23269.88,19722.96,754.260000,1.72,44.620000
20200406,2020-04-06,2020,4,April,FQ1,FY20-21,Monday,False,58,58,0,160,160,52100.97,52100.97,44572.16,0.00,1498.78,28072.44,24028.58,898.290000,0.0,46.120000
20210707,2021-07-07,2021,7,July,FQ2,FY21-22,Wednesday,False,63,62,1,187,186,59509.76,59173.80,48100.01,335.96,1293.04,32727.61,26446.26,954.420000,1.59,44.440000
20210520,2021-05-20,2021,5,May,FQ1,FY21-22,Thursday,False,60,59,1,171,168,52128.48,50284.19,41736.07,1844.29,1425.53,27719.59,22564.71,852.270000,1.67,43.290000
20200609,2020-06-09,2020,6,June,FQ1,FY20-21,Tuesday,False,54,53,1,161,157,52335.66,51982.54,43638.81,353.12,2413.64,28745.02,23237.57,980.800000,1.85,44.400000
20241228,2024-12-28,2024,12,December,FQ3,FY24-25,Saturday,True,67,66,1,193,188,60812.07,60264.13,50173.36,547.94,0.00,32904.65,27359.58,913.090000,1.49,44.990000
20220223,2022-02-23,2022,2,February,FQ4,FY21-22,Wednesday,False,55,55,0,179,179,47966.51,47966.51,38166.64,0.00,3838.24,26540.81,21425.79,872.120000,0.0,44.670000
20220911,2022-09-11,2022,9,September,FQ2,FY22-23,Sunday,True,71,68,3,219,212,73496.54,71087.49,56518.37,2409.05,0.00,37351.03,33736.43,1045.400000,4.23,45.900000
20200227,2020-02-27,2020,2,February,FQ4,FY19-20,Thursday,False,49,49,0,135,135,41073.58,41073.58,31123.35,0.00,1408.49,22158.09,18915.48,838.240000,0.0,46.050000
20210828,2021-08-28,2021,8,August,FQ2,FY21-22,Saturday,True,65,64,1,202,200,64525.70,64010.70,51232.24,515.00,1402.60,34716.72,29294.19,1000.170000,1.54,45.400000
20210522,2021-05-22,2021,5,May,FQ1,FY21-22,Saturday,True,61,59,2,162,157,48102.64,45388.70,38671.05,2713.94,936.08,25126.83,20261.96,769.300000,3.28,42.120000
20220722,2022-07-22,2022,7,July,FQ2,FY22-23,Friday,False,56,56,0,169,169,53488.62,53488.62,40581.63,0.00,1698.68,29200.21,24288.43,955.150000,0.0,45.410000
20230831,2023-08-31,2023,8,August,FQ2,FY23-24,Thursday,False,66,64,2,207,205,72905.14,72313.53,61689.03,591.61,308.05,39241.76,33071.82,1129.900000,3.03,45.360000
20211015,2021-10-15,2021,10,October,FQ3,FY21-22,Friday,False,67,63,4,199,191,68518.93,65061.44,40333.85,3457.49,2353.12,35383.32,29678.35,1032.720000,5.97,43.310000
20220213,2022-02-13,2022,2,February,FQ4,FY21-22,Sunday,True,54,53,1,166,162,51702.55,50010.66,40569.34,1691.89,2712.94,27206.26,22804.33,943.600000,1.85,44.110000
20201204,2020-12-04,2020,12,December,FQ3,FY20-21,Friday,False,67,65,2,212,206,64737.24,62985.65,47435.32,1751.59,1587.33,33959.77,29025.94,969.010000,2.99,44.840000
20200422,2020-04-22,2020,4,April,FQ1,FY20-21,Wednesday,False,63,59,4,183,169,49321.11,44707.32,35514.16,4613.79,823.50,24676.49,20030.97,757.750000,6.35,40.610000
20230321,2023-03-21,2023,3,March,FQ4,FY22-23,Tuesday,False,46,44,2,144,138,42718.89,41696.49,33556.81,1022.40,428.62,22608.70,19087.78,947.650000,4.35,44.680000
20221207,2022-12-07,2022,12,December,FQ3,FY22-23,Wednesday,False,57,57,0,164,164,54612.17,54612.17,38292.23,0.00,0.00,29698.77,24913.68,958.110000,0.0,45.620000
20211005,2021-10-05,2021,10,October,FQ3,FY21-22,Tuesday,False,49,49,0,170,170,53234.09,53234.09,33721.07,0.00,4501.76,28774.02,24460.09,1086.410000,0.0,45.950000
20230414,2023-04-14,2023,4,April,FQ1,FY23-24,Friday,False,48,48,0,149,149,51029.76,51029.76,37373.50,0.00,559.89,27391.81,23638.10,1063.120000,0.0,46.320000
20230509,2023-05-09,2023,5,May,FQ1,FY23-24,Tuesday,False,58,54,4,182,167,52815.97,47334.71,28145.12,5481.26,4420.37,26662.24,20672.49,876.570000,6.9,39.140000
20230602,2023-06-02,2023,6,June,FQ1,FY23-24,Friday,False,66,66,0,195,195,59982.89,59982.89,48541.94,0.00,2288.12,32891.47,27091.41,908.830000,0.0,45.170000
20200321,2020-03-21,2020,3,March,FQ4,FY19-20,Saturday,True,53,50,3,163,152,48597.02,46239.88,34944.25,2357.14,2579.94,24487.72,21752.21,924.800000,5.66,44.760000
20240614,2024-06-14,2024,6,June,FQ1,FY24-25,Friday,False,58,57,1,173,172,54516.81,54325.66,39879.10,191.15,6131.20,29674.80,24651.01,953.080000,1.72,45.220000
20240113,2024-01-13,2024,1,January,FQ4,FY23-24,Saturday,True,46,43,3,129,118,39005.92,37954.90,33055.45,1051.02,0.00,20708.53,17246.46,882.670000,6.52,44.210000
20211030,2021-10-30,2021,10,October,FQ3,FY21-22,Saturday,True,52,49,3,159,149,46315.61,42810.78,31297.68,3504.83,2029.12,23517.85,19292.97,873.690000,5.77,41.660000
20240223,2024-02-23,2024,2,February,FQ4,FY23-24,Friday,False,46,46,0,152,152,51427.04,51427.04,41488.29,0.00,1578.61,27423.32,24003.79,1117.980000,0.0,46.680000
20210402,2021-04-02,2021,4,April,FQ1,FY21-22,Friday,False,58,57,1,179,176,56518.88,55780.53,42440.69,738.35,6225.26,30730.85,25049.74,978.610000,1.72,44.320000
20220416,2022-04-16,2022,4,April,FQ1,FY22-23,Saturday,True,1670,1390,280,1689,1594,1054134.78,937932.02,302038.46,116202.76,17048.88,430177.49,507754.50,674.770000,16.77,48.170000
20220502,2022-05-02,2022,5,May,FQ1,FY22-23,Monday,False,1953,1662,291,2026,1907,1210121.50,1111223.56,268910.48,98897.94,8239.22,515565.61,595658.03,668.610000,14.9,49.220000
20220620,2022-06-20,2022,6,June,FQ1,FY22-23,Monday,False,1209,1034,175,1262,1206,802446.27,728522.42,217866.39,73923.85,6001.91,330315.44,398207.01,704.570000,14.47,49.620000
20220603,2022-06-03,2022,6,June,FQ1,FY22-23,Friday,False,1206,1042,164,1242,1178,773540.78,706680.02,182639.02,66860.76,11585.00,317247.59,389432.48,678.200000,13.6,50.340000
20240623,2024-06-23,2024,6,June,FQ1,FY24-25,Sunday,True,59,58,1,163,160,56624.33,55006.52,47605.10,1617.81,3152.20,30196.31,24810.19,948.390000,1.69,43.820000
20210327,2021-03-27,2021,3,March,FQ4,FY20-21,Saturday,True,53,48,5,185,166,58086.57,54144.46,38277.40,3942.11,3318.30,29468.81,24675.83,1128.010000,9.43,42.480000
20200703,2020-07-03,2020,7,July,FQ2,FY20-21,Friday,False,46,44,2,142,136,45143.81,44655.03,31279.23,488.78,4566.62,23760.31,20894.78,1014.890000,4.35,46.280000
20210216,2021-02-16,2021,2,February,FQ4,FY20-21,Tuesday,False,50,47,3,161,152,48777.56,45216.42,33478.78,3561.14,871.42,25776.55,19439.88,962.050000,6.0,39.850000
20241025,2024-10-25,2024,10,October,FQ3,FY24-25,Friday,False,63,63,0,217,217,62522.46,62522.46,45710.54,0.00,0.00,33485.18,29037.31,992.420000,0.0,46.440000
20210930,2021-09-30,2021,9,September,FQ2,FY21-22,Thursday,False,66,63,3,189,182,59572.56,57445.52,41410.61,2127.04,258.41,30504.59,26941.06,911.830000,4.55,45.220000
20220910,2022-09-10,2022,9,September,FQ2,FY22-23,Saturday,True,60,58,2,179,174,56086.30,55093.96,38433.51,992.34,2671.41,29900.77,25193.31,949.900000,3.33,44.920000
20240905,2024-09-05,2024,9,September,FQ2,FY24-25,Thursday,False,49,48,1,151,148,48493.68,47501.43,40031.22,992.25,583.58,25861.74,21639.78,989.610000,2.04,44.620000
20210810,2021-08-10,2021,8,August,FQ2,FY21-22,Tuesday,False,72,72,0,204,204,55824.09,55824.09,37006.18,0.00,2335.90,30544.73,25279.48,775.330000,0.0,45.280000
20231010,2023-10-10,2023,10,October,FQ3,FY23-24,Tuesday,False,56,52,4,144,128,42809.50,39935.45,30909.19,2874.05,2342.76,21525.49,18410.01,767.990000,7.14,43.000000
20241203,2024-12-03,2024,12,December,FQ3,FY24-25,Tuesday,False,46,45,1,150,145,44867.11,44838.75,34001.68,28.36,3177.41,25321.78,19517.02,996.420000,2.17,43.500000
20230421,2023-04-21,2023,4,April,FQ1,FY23-24,Friday,False,59,56,3,195,184,62171.50,59085.19,47281.60,3086.31,0.00,32219.79,26865.44,1055.090000,5.08,43.210000
20241024,2024-10-24,2024,10,October,FQ3,FY24-25,Thursday,False,47,47,0,144,144,42109.71,42109.71,28813.65,0.00,3298.59,23116.83,18992.85,895.950000,0.0,45.100000
20210421,2021-04-21,2021,4,April,FQ1,FY21-22,Wednesday,False,47,45,2,149,140,44504.16,41867.90,30671.69,2636.26,2454.58,23070.35,18797.68,930.400000,4.26,42.240000
20230609,2023-06-09,2023,6,June,FQ1,FY23-24,Friday,False,59,57,2,186,179,58796.14,55758.60,40306.49,3037.54,2092.00,30302.83,25455.83,978.220000,3.39,43.300000
20230603,2023-06-03,2023,6,June,FQ1,FY23-24,Saturday,True,58,57,1,176,175,56284.78,56224.57,42455.29,60.21,1342.31,30366.44,25858.08,986.400000,1.72,45.940000
20201104,2020-11-04,2020,11,November,FQ3,FY20-21,Wednesday,False,50,49,1,148,146,52005.11,51774.94,39406.79,230.17,0.00,28194.37,23580.63,1056.630000,2.0,45.340000
20200421,2020-04-21,2020,4,April,FQ1,FY20-21,Tuesday,False,56,55,1,179,176,54924.29,54287.65,40558.94,636.64,2550.03,30303.04,23984.75,987.050000,1.79,43.670000
20230702,2023-07-02,2023,7,July,FQ2,FY23-24,Sunday,True,48,47,1,149,144,47537.21,44382.64,30134.42,3154.57,2242.97,23937.12,20445.58,944.310000,2.08,43.010000
20210811,2021-08-11,2021,8,August,FQ2,FY21-22,Wednesday,False,46,44,2,139,137,37848.25,37288.38,29609.17,559.87,0.00,20266.90,17021.35,847.460000,4.35,44.970000
20220331,2022-03-31,2022,3,March,FQ4,FY21-22,Thursday,False,209,190,19,306,301,143918.12,136827.15,36849.61,7090.97,4262.46,64538.06,72289.07,720.140000,9.09,50.230000
20220807,2022-08-07,2022,8,August,FQ2,FY22-23,Sunday,True,54,52,2,178,170,48624.16,46225.52,38422.25,2398.64,0.00,25282.21,20943.19,888.950000,3.7,43.070000
20230108,2023-01-08,2023,1,January,FQ4,FY22-23,Sunday,True,51,49,2,157,149,42371.95,39365.53,30355.47,3006.42,582.77,21494.14,17871.44,803.380000,3.92,42.180000
20220817,2022-08-17,2022,8,August,FQ2,FY22-23,Wednesday,False,55,53,2,158,151,46937.61,44382.62,31780.37,2554.99,1307.82,23733.92,20648.72,837.410000,3.64,43.990000
20240717,2024-07-17,2024,7,July,FQ2,FY24-25,Wednesday,False,55,54,1,168,163,51965.93,50326.82,42273.84,1639.11,0.00,26400.26,23926.67,931.980000,1.82,46.040000
20200218,2020-02-18,2020,2,February,FQ4,FY19-20,Tuesday,False,53,50,3,167,158,48271.75,46615.22,39207.54,1656.53,4498.68,25075.73,21539.54,932.300000,5.66,44.620000
20231026,2023-10-26,2023,10,October,FQ3,FY23-24,Thursday,False,61,60,1,177,175,48387.11,47836.77,32789.48,550.34,0.00,26249.66,21587.23,797.280000,1.64,44.610000
20240820,2024-08-20,2024,8,August,FQ2,FY24-25,Tuesday,False,61,58,3,181,176,52078.23,51200.10,41812.41,878.13,55.00,27423.76,23776.38,882.760000,4.92,45.660000
20210123,2021-01-23,2021,1,January,FQ4,FY20-21,Saturday,True,41,40,1,115,111,32375.55,30760.64,24325.24,1614.91,655.40,17066.81,13693.83,769.020000,2.44,42.300000
20240301,2024-03-01,2024,3,March,FQ4,FY23-24,Friday,False,60,60,0,159,159,47005.36,47005.36,32751.02,0.00,4707.82,25804.82,21200.69,783.420000,0.0,45.100000
20240727,2024-07-27,2024,7,July,FQ2,FY24-25,Saturday,True,55,53,2,163,157,47028.95,45023.57,36894.08,2005.38,391.23,24083.16,20940.43,849.500000,3.64,44.530000
20201119,2020-11-19,2020,11,November,FQ3,FY20-21,Thursday,False,51,49,2,134,127,43488.02,42505.06,29444.93,982.96,2671.40,22677.13,19828.07,867.450000,3.92,45.590000
20200610,2020-06-10,2020,6,June,FQ1,FY20-21,Wednesday,False,69,69,0,195,195,60594.02,60594.02,45574.62,0.00,379.48,33009.80,27584.26,878.170000,0.0,45.520000
20201223,2020-12-23,2020,12,December,FQ3,FY20-21,Wednesday,False,54,52,2,168,162,48976.87,46721.40,39253.24,2255.47,0.00,25470.70,21250.72,898.490000,3.7,43.390000
20210905,2021-09-05,2021,9,September,FQ2,FY21-22,Sunday,True,61,60,1,185,184,57058.32,56521.99,42563.37,536.33,1226.60,30458.39,26063.73,942.030000,1.64,45.680000
20210624,2021-06-24,2021,6,June,FQ1,FY21-22,Thursday,False,64,59,5,200,187,55448.32,52884.83,44947.61,2563.49,0.00,28739.85,24144.99,896.350000,7.81,43.550000
20240123,2024-01-23,2024,1,January,FQ4,FY23-24,Tuesday,False,46,45,1,141,139,47673.44,47492.38,34115.59,181.06,3571.91,25830.73,21661.64,1055.390000,2.17,45.440000
20240327,2024-03-27,2024,3,March,FQ4,FY23-24,Wednesday,False,69,68,1,190,186,67449.82,65930.51,54592.63,1519.31,313.92,36350.71,29579.94,969.570000,1.45,43.850000
20221113,2022-11-13,2022,11,November,FQ3,FY22-23,Sunday,True,52,52,0,170,170,45392.57,45392.57,34052.05,0.00,0.00,24431.94,20960.63,872.930000,0.0,46.180000
20201025,2020-10-25,2020,10,October,FQ3,FY20-21,Sunday,True,43,40,3,123,114,33246.93,28717.93,25856.20,4529.00,528.52,15666.23,13051.75,717.950000,6.98,39.260000
20230327,2023-03-27,2023,3,March,FQ4,FY22-23,Monday,False,53,53,0,150,150,51201.99,51201.99,27995.46,0.00,5046.75,27652.36,23549.65,966.080000,0.0,45.990000
20230516,2023-05-16,2023,5,May,FQ1,FY23-24,Tuesday,False,61,59,2,176,171,51880.73,51504.61,36173.28,376.12,2277.42,27753.07,23751.71,872.960000,3.28,45.780000
20231213,2023-12-13,2023,12,December,FQ3,FY23-24,Wednesday,False,61,60,1,171,168,50282.72,49009.07,42498.33,1273.65,487.28,27262.50,21746.56,816.820000,1.64,43.250000
20210420,2021-04-20,2021,4,April,FQ1,FY21-22,Tuesday,False,59,57,2,176,167,51752.16,48391.94,41283.76,3360.22,508.88,26277.90,22114.16,848.980000,3.39,42.730000
20201213,2020-12-13,2020,12,December,FQ3,FY20-21,Sunday,True,45,45,0,125,125,42958.26,42958.26,31646.44,0.00,2367.36,22776.97,20181.32,954.630000,0.0,46.980000
20211025,2021-10-25,2021,10,October,FQ3,FY21-22,Monday,False,54,51,3,153,146,41522.96,39896.71,33855.44,1626.25,98.17,21168.65,18728.11,782.290000,5.56,45.100000
20220425,2022-04-25,2022,4,April,FQ1,FY22-23,Monday,False,1612,1357,255,1636,1571,1027885.61,927658.62,381504.28,100226.99,37094.17,436165.11,491493.63,683.610000,15.82,47.820000
20210317,2021-03-17,2021,3,March,FQ4,FY20-21,Wednesday,False,55,55,0,161,161,54246.53,54246.53,44721.61,0.00,0.00,28964.28,25282.30,986.300000,0.0,46.610000
20240904,2024-09-04,2024,9,September,FQ2,FY24-25,Wednesday,False,63,61,2,159,154,50114.22,48249.58,40674.03,1864.64,1950.16,25795.74,22453.95,790.980000,3.17,44.810000
20211202,2021-12-02,2021,12,December,FQ3,FY21-22,Thursday,False,53,48,5,174,153,58448.08,53703.67,45515.73,4744.41,862.15,28922.56,24781.10,1118.830000,9.43,42.400000
20230109,2023-01-09,2023,1,January,FQ4,FY22-23,Monday,False,58,58,0,170,170,47419.84,47419.84,43886.03,0.00,492.30,25117.99,22301.95,817.580000,0.0,47.030000
20211227,2021-12-27,2021,12,December,FQ3,FY21-22,Monday,False,67,65,2,215,209,65452.07,64456.29,47942.07,995.78,2359.32,34789.33,29667.08,991.640000,2.99,45.330000
20230328,2023-03-28,2023,3,March,FQ4,FY22-23,Tuesday,False,44,44,0,134,134,46389.13,46389.13,33559.18,0.00,2826.22,25416.85,20972.31,1054.300000,0.0,45.210000
20220128,2022-01-28,2022,1,January,FQ4,FY21-22,Friday,False,62,60,2,183,177,54865.83,51396.34,36839.87,3469.49,667.78,28086.19,23310.29,856.610000,3.23,42.490000
20231223,2023-12-23,2023,12,December,FQ3,FY23-24,Saturday,True,54,50,4,161,152,46680.12,44742.26,33562.53,1937.86,0.00,24136.88,20605.38,894.850000,7.41,44.140000
20200525,2020-05-25,2020,5,May,FQ1,FY20-21,Monday,False,52,51,1,157,152,50497.98,47484.24,36471.89,3013.74,316.92,26055.72,21428.65,931.060000,1.92,42.430000
20200302,2020-03-02,2020,3,March,FQ4,FY19-20,Monday,False,56,55,1,169,167,57444.97,56701.27,41315.93,743.70,5814.21,30653.92,26047.46,1030.930000,1.79,45.340000
20200608,2020-06-08,2020,6,June,FQ1,FY20-21,Monday,False,53,52,1,169,165,53584.29,52620.72,45239.59,963.57,0.00,28676.24,23944.48,1011.940000,1.89,44.690000
20220901,2022-09-01,2022,9,September,FQ2,FY22-23,Thursday,False,50,47,3,146,135,43937.97,41499.48,33563.74,2438.49,3813.36,22487.80,19011.72,882.970000,6.0,43.270000
20200322,2020-03-22,2020,3,March,FQ4,FY19-20,Sunday,True,65,63,2,206,203,66687.75,65859.08,50073.19,828.67,1551.43,35391.09,30468.12,1045.380000,3.08,45.690000
20210411,2021-04-11,2021,4,April,FQ1,FY21-22,Sunday,True,44,44,0,145,145,43254.00,43254.00,36852.02,0.00,436.51,23670.21,19583.78,983.050000,0.0,45.280000
20240122,2024-01-22,2024,1,January,FQ4,FY23-24,Monday,False,54,52,2,159,150,42203.31,41330.27,33270.34,873.04,140.53,22138.83,19191.58,794.810000,3.7,45.470000
20240411,2024-04-11,2024,4,April,FQ1,FY24-25,Thursday,False,47,45,2,140,137,46674.94,46224.22,42216.67,450.72,301.19,24776.29,21447.97,1027.200000,4.26,45.950000
20210515,2021-05-15,2021,5,May,FQ1,FY21-22,Saturday,True,57,55,2,187,178,54685.27,53609.63,40303.00,1075.64,4583.85,29249.53,24360.27,974.720000,3.51,44.550000
20210129,2021-01-29,2021,1,January,FQ4,FY20-21,Friday,False,58,58,0,167,167,53860.19,53860.19,42305.64,0.00,2427.20,29781.00,24079.30,928.620000,0.0,44.710000
20221223,2022-12-23,2022,12,December,FQ3,FY22-23,Friday,False,42,40,2,120,114,34337.83,32632.85,25542.11,1704.98,1089.71,18245.47,14387.39,815.820000,4.76,41.900000
20201203,2020-12-03,2020,12,December,FQ3,FY20-21,Thursday,False,50,49,1,158,154,43426.76,42816.00,28800.66,610.76,2850.35,23839.83,18976.23,873.800000,2.0,43.700000
20200415,2020-04-15,2020,4,April,FQ1,FY20-21,Wednesday,False,58,56,2,175,172,57537.49,56570.50,47382.79,966.99,1072.64,31015.56,25555.11,1010.190000,3.45,44.410000
20200109,2020-01-09,2020,1,January,FQ4,FY19-20,Thursday,False,53,51,2,170,166,51222.01,49998.47,46615.80,1223.54,1467.20,27298.68,22699.76,980.360000,3.77,44.320000
20230515,2023-05-15,2023,5,May,FQ1,FY23-24,Monday,False,55,52,3,172,162,54162.25,50544.86,39328.18,3617.39,1075.28,28002.96,22542.12,972.020000,5.45,41.620000
20210207,2021-02-07,2021,2,February,FQ4,FY20-21,Sunday,True,50,49,1,151,147,47665.76,46038.39,39842.33,1627.37,775.17,24999.29,21039.14,939.560000,2.0,44.140000
20210921,2021-09-21,2021,9,September,FQ2,FY21-22,Tuesday,False,64,62,2,212,208,67686.34,66821.27,48968.66,865.07,5811.28,37621.33,29200.24,1077.760000,3.13,43.140000
20210504,2021-05-04,2021,5,May,FQ1,FY21-22,Tuesday,False,57,54,3,154,146,48251.01,45503.20,34514.11,2747.81,0.00,24622.01,20881.31,842.650000,5.26,43.280000
20210302,2021-03-02,2021,3,March,FQ4,FY20-21,Tuesday,False,48,47,1,158,153,55952.04,53546.39,42421.48,2405.65,3837.10,28645.13,24901.27,1139.280000,2.08,44.500000
20201103,2020-11-03,2020,11,November,FQ3,FY20-21,Tuesday,False,63,61,2,176,169,47862.78,47083.75,37922.60,779.03,1347.28,25321.22,21762.52,771.860000,3.17,45.470000
20210827,2021-08-27,2021,8,August,FQ2,FY21-22,Friday,False,54,51,3,144,132,48696.36,43014.08,35450.75,5682.28,0.00,22809.22,20204.96,843.410000,5.56,41.490000
20220801,2022-08-01,2022,8,August,FQ2,FY22-23,Monday,False,62,59,3,188,178,51272.21,47018.50,37221.15,4253.71,377.75,25394.96,21623.73,796.920000,4.84,42.170000
20240718,2024-07-18,2024,7,July,FQ2,FY24-25,Thursday,False,56,54,2,175,169,50434.38,49021.20,39754.92,1413.18,530.13,27140.55,21880.76,907.800000,3.57,43.380000
20240921,2024-09-21,2024,9,September,FQ2,FY24-25,Saturday,True,66,65,1,194,193,59606.85,58949.65,39938.17,657.20,2436.58,32383.46,26566.16,906.920000,1.52,44.570000
20240129,2024-01-29,2024,1,January,FQ4,FY23-24,Monday,False,53,51,2,171,166,51980.14,51203.93,42616.06,776.21,0.00,27239.75,23964.24,1004.000000,3.77,46.100000
20200831,2020-08-31,2020,8,August,FQ2,FY20-21,Monday,False,56,55,1,179,176,55480.14,53671.00,41092.88,1809.14,836.48,29566.92,24104.23,975.840000,1.79,43.450000
